DATE SP500 Lo30 Med40 Hi30 Lo20 Qnt2 Qnt3 Qnt4 Hi20 Lo10 Dec02 Dec03 Dec04 Dec05 Dec06 Dec07 Dec08 Dec09 Hi10
197008 0.047789901 0.0423 0.054 0.0598 0.0427 0.0602 0.0454 0.0507 0.0639 0.0465 0.0358 0.04 0.0724 0.0488 0.0414 0.0478 0.0561 0.0677 0.0604
197009 0.036187473 0.0798 0.0095 0.0461 0.082 0.029 0.0207 0.0124 0.0628 0.0876 0.0717 0.0687 0.0057 0.0121 0.0311 0.0023 0.031 0.0543 0.0706
197010 -0.008312452 -0.0112 -0.0194 -0.0304 -0.0087 -0.0204 -0.0409 -0.0062 -0.0455 -0.0044 -0.0167 -0.0242 -0.0181 -0.0404 -0.0416 -0.0006 -0.0163 -0.0423 -0.0484
197011 0.050570534 0.0479 0.0543 0.0577 0.0478 0.0547 0.0496 0.0601 0.0452 0.0436 0.0557 0.0487 0.0584 0.0509 0.0482 0.0553 0.0691 0.0459 0.0446
197012 0.059747673 0.0553 0.0689 0.0634 0.0502 0.0695 0.0816 0.0586 0.0777 0.0459 0.0584 0.082 0.0619 0.0769 0.0873 0.0629 0.0508 0.0658 0.0885
197101 0.043190407 0.0512 0.0444 0.063 0.0461 0.0562 0.0492 0.0424 0.0828 0.0426 0.0527 0.0768 0.0434 0.0535 0.0441 0.0409 0.045 0.0902 0.0762
197102 0.011681378 0.0255 0.0055 0.0203 0.0264 0.0125 0.0094 0.0093 0.0152 0.0248 0.0291 0.021 0.0071 0.0166 0.0009 0.0007 0.0251 0.0113 0.0187
197103 0.03937982 0.0616 0.0322 0.0243 0.0625 0.0408 0.0481 0.0186 0.0312 0.0685 0.0516 0.057 0.0304 0.051 0.0447 0.019 0.0179 0.0325 0.0301
197104 0.038879468 0.0394 0.027 0.0488 0.036 0.0497 0.0137 0.0275 0.0674 0.0305 0.0461 0.0566 0.0451 0.0197 0.0063 0.0253 0.0313 0.054 0.0794
197105 -0.039057311 -0.0285 -0.0433 -0.0464 -0.0259 -0.0411 -0.0431 -0.0475 -0.0408 -0.0297 -0.019 -0.0408 -0.0413 -0.0418 -0.0447 -0.0451 -0.0519 -0.0398 -0.0416
197106 0.003312329 0.0111 -0.0024 -0.0043 0.0116 -0.0041 -0.0003 0.0058 -0.0179 0.0145 0.0062 0.0088 -0.0128 -0.0041 0.0045 0.0041 0.0087 -0.0293 -0.0071
197107 -0.038716254 -0.0431 -0.0359 -0.0513 -0.0417 -0.0417 -0.0361 -0.0384 -0.0598 -0.0494 -0.0304 -0.0508 -0.0324 -0.0275 -0.0452 -0.0383 -0.0387 -0.0526 -0.0671
197108 0.038815785 0.0549 0.014 0.0809 0.0552 0.0469 -0.0035 0.0279 0.1074 0.0474 0.0665 0.053 0.041 -0.0024 -0.0047 0.0221 0.0425 0.0915 0.1237
197109 -0.004342143 0.0041 -0.0118 -0.0242 0.0053 -0.0088 -0.0111 -0.0123 -0.0289 0.0098 -0.0012 -0.0026 -0.015 -0.0021 -0.0208 -0.0104 -0.0171 -0.0165 -0.0413
197110 -0.039149896 -0.0396 -0.0356 -0.0493 -0.0369 -0.0499 -0.0345 -0.0341 -0.0524 -0.0308 -0.0455 -0.0545 -0.0452 -0.0347 -0.0343 -0.0299 -0.0445 -0.0423 -0.0627
197111 0.000212188 0.0072 -0.0056 -0.0195 0.0086 -0.0006 -0.0072 -0.0084 -0.0241 0.0115 0.0042 -0.0004 -0.0008 -0.0104 -0.0037 -0.0068 -0.0125 -0.0179 -0.0307
197112 0.088945707 0.0921 0.0868 0.1022 0.0906 0.0974 0.0918 0.0778 0.11 0.0982 0.0793 0.1007 0.094 0.0847 0.0996 0.073 0.0902 0.1069 0.1134
197201 0.020569996 0.0295 0.0092 0.0653 0.0307 0.0171 0.0043 0.0213 0.0847 0.0426 0.0128 0.023 0.011 0.0075 0.0008 0.0159 0.0353 0.0759 0.0941
197202 0.027708344 0.045 0.0121 0.0149 0.0476 0.0251 0.0136 0.0082 0.0115 0.0513 0.0419 0.0299 0.0201 0.0097 0.0178 0.0033 0.0204 0.0051 0.0182
197203 0.00825753 0.0218 -0.0122 0.0046 0.0243 0.0077 -0.0216 -0.0108 0.0101 0.0209 0.0294 0.0073 0.008 -0.0161 -0.0275 -0.0134 -0.0043 0.0136 0.0064
197204 0.006809713 0.0071 0.0021 0.0094 0.0075 0.008 -0.0017 0.0047 0.0065 0.0096 0.0041 0.005 0.011 -0.0027 -0.0006 0.0008 0.0142 0.0119 0.0009
197205 0.019689799 0.0278 0.0066 -0.017 0.0321 -0.0094 0.0184 0.0033 -0.0186 0.042 0.0169 0.002 -0.0212 0.0113 0.0261 0.0107 -0.0145 -0.0132 -0.0243
197206 -0.019446722 -0.0112 -0.0277 -0.0549 -0.0101 -0.0281 -0.0272 -0.0281 -0.0586 -0.0002 -0.0258 -0.0184 -0.0384 -0.0302 -0.024 -0.0196 -0.0491 -0.0586 -0.0585
197207 0.004760127 0.0032 -0.0135 -0.0124 0.0086 -0.0202 -0.0086 -0.0115 -0.0207 0.0173 -0.0149 -0.0202 -0.0202 -0.015 -0.0037 -0.0176 -0.0077 -0.0204 -0.0211
197208 0.036874914 0.0133 0.0653 0.0663 0.0058 0.0512 0.0595 0.0773 0.0555 0 0.0222 0.0469 0.0582 0.0552 0.0627 0.0854 0.0723 0.0607 0.0497
197209 -0.002520556 -0.0058 -0.0125 -0.0027 -0.0011 -0.0218 -0.0154 0.0086 -0.0371 0.0048 -0.0174 -0.0259 -0.0151 -0.0177 -0.0136 -0.0035 0.0162 -0.035 -0.0395
